TREE_COLORS								
SEPARATOR TAB								
COLOR	#a6cee3							
DATASET_LABEL	Taxonomy							
LEGEND_COLORS	#EEE685	#4F94CD	#EE7600	#00CD00	#43CD80	#90EE90	#919191
LEGEND_LABELS	Actinobacteria	Bacteroidetes	Firmicutes	Alphaproteobacteria	Betaproteobacteria	Gammaproteobacteria	Others
LEGEND_SHAPES	1	1	1	1	1	1	1	1
LEGEND_TITLE	Taxonomy							
DATA								
HQB-283	range	#4F94CD	Bacteroidetes					
HQB-285	range	#90EE90	Gammaproteobacteria					
HQB-286	range	#00CD00	Alphaproteobacteria					
HQB-288	range	#4F94CD	Bacteroidetes					
HQB-289	range	#90EE90	Gammaproteobacteria					
HQB-290	range	#EEE685	Actinobacteria					
HQB-291	range	#00CD00	Alphaproteobacteria					
HQB-292	range	#00CD00	Alphaproteobacteria					
HQB-294	range	#00CD00	Alphaproteobacteria					
HQB-296	range	#00CD00	Alphaproteobacteria					
HQB-297	range	#4F94CD	Bacteroidetes					
HQB-298	range	#90EE90	Gammaproteobacteria					
HQB-299	range	#90EE90	Gammaproteobacteria					
HQB-300	range	#00CD00	Alphaproteobacteria					
HQB-301	range	#00CD00	Alphaproteobacteria					
HQB-302	range	#90EE90	Gammaproteobacteria					
HQB-303	range	#00CD00	Alphaproteobacteria					
HQB-304	range	#90EE90	Gammaproteobacteria					
HQB-305	range	#00CD00	Alphaproteobacteria					
HQB-306	range	#00CD00	Alphaproteobacteria					
HQB-308	range	#4F94CD	Bacteroidetes					
HQB-310	range	#4F94CD	Bacteroidetes					
HQB-312	range	#EEE685	Actinobacteria					
HQB-313	range	#EEE685	Actinobacteria					
HQB-314	range	#90EE90	Gammaproteobacteria					
HQB-315	range	#EEE685	Actinobacteria					
HQB-316	range	#90EE90	Gammaproteobacteria					
HQB-317	range	#4F94CD	Bacteroidetes					
HQB-318	range	#90EE90	Gammaproteobacteria					
HQB-319	range	#EE7600	Firmicutes					
HQB-320	range	#90EE90	Gammaproteobacteria					
HQB-321	range	#EEE685	Actinobacteria					
HQB-322	range	#00CD00	Alphaproteobacteria					
HQB-323	range	#00CD00	Alphaproteobacteria					
HQB-324	range	#00CD00	Alphaproteobacteria					
HQB-325	range	#EEE685	Actinobacteria					
HQB-326	range	#00CD00	Alphaproteobacteria					
HQB-327	range	#00CD00	Alphaproteobacteria					
HQB-328	range	#4F94CD	Bacteroidetes					
HQB-329	range	#4F94CD	Bacteroidetes					
HQB-330	range	#00CD00	Alphaproteobacteria					
HQB-331	range	#EE7600	Firmicutes					
HQB-332	range	#EEE685	Actinobacteria					
HQB-333	range	#EE7600	Firmicutes					
HQB-334	range	#90EE90	Gammaproteobacteria					
HQB-335	range	#90EE90	Gammaproteobacteria					
HQB-336	range	#00CD00	Alphaproteobacteria					
HQB-337	range	#00CD00	Alphaproteobacteria					
HQB-338	range	#4F94CD	Bacteroidetes					
HQB-339	range	#90EE90	Gammaproteobacteria					
HQB-340	range	#EEE685	Actinobacteria					
HQB-341	range	#00CD00	Alphaproteobacteria					
HQB-342	range	#00CD00	Alphaproteobacteria					
HQB-343	range	#90EE90	Gammaproteobacteria					
HQB-344	range	#90EE90	Gammaproteobacteria					
HQB-345	range	#90EE90	Gammaproteobacteria					
HQB-346	range	#90EE90	Gammaproteobacteria					
HQB-347	range	#90EE90	Gammaproteobacteria					
HQB-348	range	#90EE90	Gammaproteobacteria					
HQB-349	range	#90EE90	Gammaproteobacteria					
HQB-350	range	#90EE90	Gammaproteobacteria					
HQB-351	range	#4F94CD	Bacteroidetes					
HQB-352	range	#EE7600	Firmicutes					
HQB-353	range	#4F94CD	Bacteroidetes					
HQB-354	range	#90EE90	Gammaproteobacteria					
HQB-355	range	#4F94CD	Bacteroidetes					
HQB-356	range	#4F94CD	Bacteroidetes					
